2014-12-12 02:20:02:0589, setup_loaddata_begin
2014-12-12 02:20:04:0898, setup_loaddata_end
2014-12-12 02:20:04:0945, setup_createactions_begin
2014-12-12 02:20:05:0132, setup_createactions_end
2014-12-12 02:20:06:0645, diag_itementered, id=35842, type=1
2014-12-12 02:20:06:0801, diag_itemexited, id=35842, type=1
2014-12-12 02:20:07:0082, diag_itementered, id=35842, type=1
2014-12-12 02:20:07:0207, diag_itemexited, id=35842, type=1
2014-12-12 02:20:11:0232, list_mouseentered, id=55440, type=1
2014-12-12 02:20:11:0232, list_mousemoved, id=55440, type=1
2014-12-12 02:20:11:0279, list_mousemoved, id=55440, type=1
2014-12-12 02:20:11:0310, list_mousemoved, id=55440, type=1
2014-12-12 02:20:11:0326, list_mousemoved, id=55440, type=1
2014-12-12 02:20:11:0357, list_mousemoved, id=55440, type=1
2014-12-12 02:20:11:0388, list_mousemoved, id=55440, type=1
2014-12-12 02:20:11:0404, list_mousemoved, id=55440, type=1
2014-12-12 02:20:11:0435, list_mousemoved, id=55440, type=1
2014-12-12 02:20:11:0466, list_mousemoved, id=55440, type=1
2014-12-12 02:20:11:0482, list_mousemoved, id=55440, type=1
2014-12-12 02:20:11:0497, list_mousemoved, id=55440, type=1
2014-12-12 02:20:11:0528, list_mouseexited
2014-12-12 02:20:12:0355, list_mouseentered, id=55440, type=1
2014-12-12 02:20:12:0371, list_mousemoved, id=55440, type=1
2014-12-12 02:20:12:0402, list_mousemoved, id=38057, type=1
2014-12-12 02:20:12:0433, list_mouseexited
2014-12-12 02:20:12:0917, list_mouseentered, id=38057, type=1
2014-12-12 02:20:12:0917, list_mousemoved, id=38057, type=1
2014-12-12 02:20:12:0964, list_mousemoved, id=55440, type=1
2014-12-12 02:20:12:0995, list_mousemoved, id=55440, type=1
2014-12-12 02:20:13:0010, list_mousemoved, id=55440, type=1
2014-12-12 02:20:13:0026, list_mousemoved, id=55440, type=1
2014-12-12 02:20:13:0104, list_mouseexited
2014-12-12 02:20:23:0868, diag_itementered, id=51390, type=1
2014-12-12 02:20:25:0023, diag_itemexited, id=51390, type=1
2014-12-12 02:20:25:0116, diag_itementered, id=47605, type=1
2014-12-12 02:20:25:0194, diag_itemexited, id=47605, type=1
2014-12-12 02:20:25:0257, diag_itemexited, id=4, type=4
2014-12-12 02:20:25:0350, diag_itementered, id=2158, type=1
2014-12-12 02:20:25:0413, diag_itemexited, id=2158, type=1
2014-12-12 02:20:25:0506, diag_itementered, id=12088, type=1
2014-12-12 02:20:25:0631, diag_itemexited, id=12088, type=1
2014-12-12 02:20:25:0771, diag_itementered, id=44005, type=1
2014-12-12 02:20:27:0846, diag_itemexited, id=44005, type=1
2014-12-12 02:20:27:0940, diag_itementered, id=65310, type=1
2014-12-12 02:20:28:0002, diag_itemexited, id=65310, type=1
2014-12-12 02:20:28:0330, diag_itemexited, id=1, type=4
2014-12-12 02:20:28:0345, diag_itementered, id=27129, type=1
2014-12-12 02:20:28:0423, diag_itemexited, id=27129, type=1
2014-12-12 02:20:28:0455, diag_itementered, id=46898, type=1
2014-12-12 02:20:28:0455, diag_itemexited, id=46898, type=1
2014-12-12 02:20:28:0611, diag_itemexited, id=3, type=4
2014-12-12 02:20:29:0188, diag_itementered, id=15899, type=1
2014-12-12 02:20:29:0781, diag_itemexited, id=15899, type=1
2014-12-12 02:20:30:0124, diag_itementered, id=25552, type=1
2014-12-12 02:20:31:0153, diag_itemexited, id=25552, type=1
2014-12-12 02:20:36:0083, diag_itemexited, id=2, type=4
2014-12-12 02:20:36:0645, diag_itementered, id=62289, type=1
2014-12-12 02:20:51:0137, edge_create, Tuple[0,1,0.050833942619263106,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0137, answer_create, 62291
2014-12-12 02:20:51:0137, edge_create, Tuple[1,2,0.16255054754239606,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0137, answer_create, 62299
2014-12-12 02:20:51:0137, edge_create, Tuple[1,3,0.6030127481102698,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0137, answer_create, 62312
2014-12-12 02:20:51:0137, edge_create, Tuple[1,4,0.24099472554935508,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0137, answer_create, 62690
2014-12-12 02:20:51:0153, edge_create, Tuple[1,5,0.6413019892254,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0153, answer_create, 63231
2014-12-12 02:20:51:0153, edge_create, Tuple[1,6,0.6168851752261437,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0153, answer_create, 876862
2014-12-12 02:20:51:0153, edge_create, Tuple[1,7,0.5302706748214883,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0153, answer_create, 878336
2014-12-12 02:20:51:0153, edge_create, Tuple[1,8,0.8296424160902821,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0153, answer_create, 1982033
2014-12-12 02:20:51:0153, edge_create, Tuple[1,9,0.827476951792514,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0153, answer_create, 5841923
2014-12-12 02:20:51:0153, edge_create, Tuple[1,10,0.7123435054329471,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0153, answer_create, 5902131
2014-12-12 02:20:51:0153, edge_create, Tuple[1,11,0.8026550672083844,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0153, answer_create, 6028547
2014-12-12 02:20:51:0153, edge_create, Tuple[1,12,0.3281603642997015,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0153, answer_create, 6163701
2014-12-12 02:20:51:0168, edge_create, Tuple[1,13,0.8331541392602535,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0168, answer_create, 6287763
2014-12-12 02:20:51:0170, edge_create, Tuple[1,14,0.46104428912593887,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0170, answer_create, 8955801
2014-12-12 02:20:51:0170, edge_create, Tuple[1,15,0.95862012518142,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0170, answer_create, 11854901
2014-12-12 02:20:51:0170, edge_create, Tuple[1,16,0.3333972428277989,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0170, answer_create, 15689078
2014-12-12 02:20:51:0170, edge_create, Tuple[1,17,0.9501516436555193,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0170, answer_create, 15831762
2014-12-12 02:20:51:0170, edge_create, Tuple[1,18,0.7401993261724992,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0170, answer_create, 17310303
2014-12-12 02:20:51:0170, edge_create, Tuple[1,19,0.3278076745564783,4,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0170, edge_create, Tuple[0,20,0.38495026546490485,1,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0170, edge_create, Tuple[20,21,0.8073159097777972,1,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0186, edge_create, Tuple[20,22,0.3788136087612911,1,0.0,1418412003104,1418412003104]
2014-12-12 02:20:51:0186, edge_create, Tuple[20,23,0.7746623521786276,1,0.0,1418412003104,1418412003104]
