2014-12-09 06:29:04:0519, setup_loaddata_begin
2014-12-09 06:29:07:0360, setup_loaddata_end
2014-12-09 06:29:07:0454, setup_createactions_begin
2014-12-09 06:29:07:0766, setup_createactions_end
2014-12-09 06:29:27:0937, diag_itementered, id=60764, type=1
2014-12-09 06:29:27:0984, diag_itemexited, id=60764, type=1
2014-12-09 06:29:27:0984, diag_itementered, id=51390, type=1
2014-12-09 06:29:28:0046, diag_itemexited, id=51390, type=1
2014-12-09 06:29:28:0186, diag_itemexited, id=4, type=4
2014-12-09 06:29:28:0264, diag_itemexited, id=3, type=4
2014-12-09 06:29:28:0264, diag_itementered, id=3, type=0
2014-12-09 06:29:29:0622, diag_itemexited, id=3, type=0
2014-12-09 06:29:29:0622, diag_itementered, id=31693, type=1
2014-12-09 06:29:29:0715, diag_itemexited, id=31693, type=1
2014-12-09 06:29:29:0793, list_mouseentered, id=36701, type=1
2014-12-09 06:29:29:0793, list_mousemoved, id=36701, type=1
2014-12-09 06:29:29:0825, list_mousemoved, id=36701, type=1
2014-12-09 06:29:29:0840, list_mousemoved, id=36701, type=1
2014-12-09 06:29:29:0871, list_mousemoved, id=36701, type=1
2014-12-09 06:29:29:0887, list_mousemoved, id=31693, type=1
2014-12-09 06:29:29:0918, list_mousemoved, id=31693, type=1
2014-12-09 06:29:29:0949, list_mousemoved, id=31693, type=1
2014-12-09 06:29:29:0981, list_mousemoved, id=31693, type=1
2014-12-09 06:29:30:0012, list_mousemoved, id=31693, type=1
2014-12-09 06:29:30:0027, list_mousemoved, id=31693, type=1
2014-12-09 06:29:30:0027, list_mousemoved, id=31693, type=1
2014-12-09 06:29:30:0059, list_mouseexited
2014-12-09 06:29:31:0026, list_pattern_mouseentered, id=1, type=0
2014-12-09 06:29:31:0026, list_pattern_mousemoved, id=1, type=0
2014-12-09 06:29:31:0057, list_pattern_mousemoved, id=1, type=0
2014-12-09 06:29:31:0073, list_pattern_mousemoved, id=1, type=0
2014-12-09 06:29:31:0088, list_pattern_mousemoved, id=1, type=0
2014-12-09 06:29:31:0119, list_pattern_mousemoved, id=1, type=0
2014-12-09 06:29:31:0135, list_pattern_mousemoved, id=1, type=0
2014-12-09 06:29:31:0151, list_pattern_mousemoved, id=1, type=0
2014-12-09 06:29:31:0166, list_pattern_mousemoved, id=1, type=0
2014-12-09 06:29:31:0182, list_pattern_mousemoved, id=2, type=0
2014-12-09 06:29:31:0213, list_pattern_mousemoved, id=2, type=0
2014-12-09 06:29:31:0244, list_pattern_mousemoved, id=2, type=0
2014-12-09 06:29:31:0260, list_pattern_mousemoved, id=2, type=0
2014-12-09 06:29:31:0260, list_pattern_mousemoved, id=2, type=0
2014-12-09 06:29:31:0307, list_pattern_mousemoved, id=3, type=0
2014-12-09 06:29:31:0322, list_pattern_mousemoved, id=3, type=0
2014-12-09 06:29:31:0353, list_pattern_mousemoved, id=3, type=0
2014-12-09 06:29:31:0369, list_pattern_mousemoved, id=3, type=0
2014-12-09 06:29:31:0400, list_pattern_mousemoved, id=3, type=0
2014-12-09 06:29:31:0400, list_pattern_mousemoved, id=3, type=0
2014-12-09 06:29:31:0431, list_pattern_mousemoved, id=3, type=0
2014-12-09 06:29:31:0463, list_pattern_mousemoved, id=3, type=0
2014-12-09 06:29:31:0463, list_pattern_mousemoved, id=3, type=0
2014-12-09 06:29:31:0478, list_pattern_mousemoved, id=3, type=0
2014-12-09 06:29:31:0525, list_pattern_mousemoved, id=4, type=0
2014-12-09 06:29:31:0525, list_pattern_mousemoved, id=4, type=0
2014-12-09 06:29:31:0572, list_pattern_mousemoved, id=4, type=0
2014-12-09 06:29:31:0650, list_pattern_mousemoved, id=4, type=0
2014-12-09 06:29:31:0665, list_pattern_mousemoved, id=4, type=0
2014-12-09 06:29:31:0681, list_pattern_mousemoved, id=3, type=0
2014-12-09 06:29:31:0712, list_pattern_mousemoved, id=3, type=0
2014-12-09 06:29:31:0743, list_pattern_mousemoved, id=3, type=0
2014-12-09 06:29:31:0759, list_pattern_mousemoved, id=3, type=0
2014-12-09 06:29:31:0790, list_pattern_mousemoved, id=3, type=0
2014-12-09 06:29:31:0821, list_pattern_mousemoved, id=3, type=0
2014-12-09 06:29:32:0477, list_pattern_itemclicked, id=3, type=0
2014-12-09 06:29:32:0945, edge_create, Tuple[0,1,0.040545807976994475,1,0.0,1418167745237,1418167745237]
2014-12-09 06:29:32:0960, edge_create, Tuple[1,2,0.6915490592679031,1,0.0,1418167745237,1418167745237]
2014-12-09 06:29:32:0960, edge_create, Tuple[1,3,0.7654871820270294,1,0.0,1418167745237,1418167745237]
2014-12-09 06:29:32:0976, edge_create, Tuple[1,4,0.8381842216919454,1,0.0,1418167745237,1418167745237]
2014-12-09 06:29:32:0976, edge_create, Tuple[1,5,0.7273633861813774,1,0.0,1418167745237,1418167745237]
2014-12-09 06:29:32:0991, edge_create, Tuple[0,6,0.23095843141972372,2,1.0,1418167745237,1418167745237]
2014-12-09 06:29:32:0991, pattern_create, 4
2014-12-09 06:29:32:0991, edge_create, Tuple[6,7,0.03529983793726765,2,1.0,1418167745237,1418167745237]
2014-12-09 06:29:33:0023, pattern_open, 3
2014-12-09 06:29:33:0569, list_pattern_mouseexited
2014-12-09 06:29:33:0569, list_mouseentered, type=detailAnswersList
2014-12-09 06:29:33:0896, list_mouseexited, type=detailAnswersList
2014-12-09 06:29:34:0629, diag_detail_itementered, id=0.6915490592679031, type=1
2014-12-09 06:29:34:0661, diag_detail_itemexited, id=0.6915490592679031, type=1
2014-12-09 06:29:35:0628, diag_detail_itementered, id=43344, type=1
2014-12-09 06:29:38:0810, diag_detail_itemclicked, id=43344, type=1
2014-12-09 06:29:39:0029, edge_create, Tuple[0,1,0.27107004421876957,4,0.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0029, answer_create, 43351
2014-12-09 06:29:39:0044, edge_create, Tuple[1,2,0.8945469724877948,4,0.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0044, answer_create, 43744
2014-12-09 06:29:39:0060, edge_create, Tuple[1,3,0.917064040509677,4,0.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0060, answer_create, 43355
2014-12-09 06:29:39:0060, edge_create, Tuple[1,4,0.6128955449819603,4,0.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0060, answer_create, 43433
2014-12-09 06:29:39:0060, edge_create, Tuple[1,5,0.5843038515407589,4,0.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0060, answer_create, 43359
2014-12-09 06:29:39:0060, edge_create, Tuple[1,6,0.9802268307526241,4,0.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0060, answer_create, 43416
2014-12-09 06:29:39:0060, edge_create, Tuple[1,7,0.7929297186175428,4,0.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0060, answer_create, 43429
2014-12-09 06:29:39:0060, edge_create, Tuple[1,8,0.45842555081940795,4,0.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0060, answer_create, 2078701
2014-12-09 06:29:39:0060, edge_create, Tuple[1,9,0.2755579864576021,4,0.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0060, answer_create, 2316029
2014-12-09 06:29:39:0060, edge_create, Tuple[1,10,0.17451967384590494,4,0.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0075, answer_create, 2997624
2014-12-09 06:29:39:0076, edge_create, Tuple[1,11,0.029538978624940815,4,0.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0077, answer_create, 6057639
2014-12-09 06:29:39:0077, edge_create, Tuple[1,12,0.25633397807449987,4,0.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0077, answer_create, 11290820
2014-12-09 06:29:39:0077, edge_create, Tuple[1,13,0.010692243987016736,4,0.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0077, answer_create, 12503557
2014-12-09 06:29:39:0077, edge_create, Tuple[1,14,0.29906103914698035,4,0.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0077, edge_create, Tuple[0,15,0.06705305195287614,2,1.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0077, pattern_create, 3
2014-12-09 06:29:39:0077, edge_create, Tuple[15,16,0.5555107956951492,2,1.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0077, edge_create, Tuple[0,17,0.31889488622664786,1,0.0,1418167745237,1418167745237]
2014-12-09 06:29:39:0077, edge_create, Tuple[17,18,0.045555048476337845,1,0.0,1418167745237,1418167745237]
