2015-02-12 02:16:47:0535, setup_loaddata_begin
2015-02-12 02:16:48:0813, setup_loaddata_end
2015-02-12 02:16:48:0849, setup_createactions_begin
2015-02-12 02:16:48:0964, setup_createactions_end
2015-02-12 02:16:57:0631, diag_itemexited, id=4, type=4
2015-02-12 02:16:57:0659, diag_itementered, id=564, type=1
2015-02-12 02:16:57:0741, diag_itemexited, id=564, type=1
2015-02-12 02:16:57:0985, diag_itemexited, id=4, type=4
2015-02-12 02:16:57:0987, diag_itementered, id=564, type=1
2015-02-12 02:16:58:0066, diag_itemexited, id=564, type=1
2015-02-12 02:16:58:0698, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0709, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0720, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0729, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0737, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0745, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0753, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0761, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0769, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0777, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0785, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0793, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0801, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0809, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0825, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0841, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0849, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0865, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0881, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0889, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0897, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0905, diag_itemdragged, id=4, type=4
2015-02-12 02:16:58:0922, diag_itemdragged, id=4, type=4
2015-02-12 02:16:59:0137, diag_itemdragged, id=4, type=4
2015-02-12 02:16:59:0145, diag_itemdragged, id=4, type=4
2015-02-12 02:16:59:0153, diag_itemdragged, id=4, type=4
2015-02-12 02:16:59:0161, diag_itemdragged, id=4, type=4
2015-02-12 02:16:59:0177, diag_itemdragged, id=4, type=4
2015-02-12 02:16:59:0185, diag_itemdragged, id=4, type=4
2015-02-12 02:16:59:0201, diag_itemdragged, id=4, type=4
2015-02-12 02:16:59:0209, diag_itemdragged, id=4, type=4
2015-02-12 02:16:59:0217, diag_itemdragged, id=4, type=4
2015-02-12 02:16:59:0233, diag_itemdragged, id=4, type=4
2015-02-12 02:16:59:0241, diag_itemdragged, id=4, type=4
2015-02-12 02:17:01:0291, diag_itemexited, id=4, type=4
2015-02-12 02:17:01:0367, diag_itementered, id=35186, type=1
2015-02-12 02:17:01:0381, diag_itemexited, id=35186, type=1
2015-02-12 02:17:02:0738, diag_itemdragged, id=3, type=4
2015-02-12 02:17:02:0753, diag_itemdragged, id=3, type=4
2015-02-12 02:17:02:0769, diag_itemdragged, id=3, type=4
2015-02-12 02:17:02:0785, diag_itemdragged, id=3, type=4
2015-02-12 02:17:02:0794, diag_itemdragged, id=3, type=4
2015-02-12 02:17:02:0809, diag_itemdragged, id=3, type=4
2015-02-12 02:17:02:0818, diag_itemdragged, id=3, type=4
2015-02-12 02:17:02:0828, diag_itemdragged, id=3, type=4
2015-02-12 02:17:02:0836, diag_itemdragged, id=3, type=4
2015-02-12 02:17:02:0843, diag_itemdragged, id=3, type=4
2015-02-12 02:17:02:0851, diag_itemdragged, id=3, type=4
2015-02-12 02:17:02:0858, diag_itemdragged, id=3, type=4
