2014-09-03 04:22:39:0160, edge_create, Tuple[0,1,0.5850407041628993,5,0.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0587, question_create, 123
2014-09-03 04:22:39:0587, edge_create, Tuple[1,2,0.47335122510875394,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0587, question_create, 564
2014-09-03 04:22:39:0588, edge_create, Tuple[1,3,0.19752793251186163,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0588, question_create, 2158
2014-09-03 04:22:39:0589, edge_create, Tuple[1,4,0.8484930964767895,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0589, question_create, 2931
2014-09-03 04:22:39:0590, edge_create, Tuple[1,5,0.6627874958598806,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0591, question_create, 2968
2014-09-03 04:22:39:0591, edge_create, Tuple[1,6,0.3388271131917777,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0591, question_create, 3049
2014-09-03 04:22:39:0592, edge_create, Tuple[1,7,0.2051360422430042,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0592, question_create, 4149
2014-09-03 04:22:39:0593, edge_create, Tuple[1,8,0.09505377726241981,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0593, question_create, 4242
2014-09-03 04:22:39:0593, edge_create, Tuple[1,9,0.5664596893404457,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0594, question_create, 5222
2014-09-03 04:22:39:0594, edge_create, Tuple[1,10,0.42967460382449074,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0594, question_create, 5328
2014-09-03 04:22:39:0595, edge_create, Tuple[1,11,0.2451878382934225,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0595, question_create, 5855
2014-09-03 04:22:39:0596, edge_create, Tuple[1,12,0.26620572599648795,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0596, question_create, 6612
2014-09-03 04:22:39:0596, edge_create, Tuple[1,13,0.9692806575791058,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0597, question_create, 6658
2014-09-03 04:22:39:0598, edge_create, Tuple[1,14,0.07862969971964695,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0598, question_create, 7291
2014-09-03 04:22:39:0599, edge_create, Tuple[1,15,0.24714639917585335,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0599, question_create, 7596
2014-09-03 04:22:39:0599, edge_create, Tuple[1,16,0.8576988685285307,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0600, question_create, 7681
2014-09-03 04:22:39:0600, edge_create, Tuple[1,17,0.5720067440269138,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0600, question_create, 7720
2014-09-03 04:22:39:0601, edge_create, Tuple[1,18,0.3592748457017051,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0601, question_create, 9913
2014-09-03 04:22:39:0601, edge_create, Tuple[1,19,0.846167448046014,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0602, question_create, 10586
2014-09-03 04:22:39:0602, edge_create, Tuple[1,20,0.7452389014338613,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0603, question_create, 11930
2014-09-03 04:22:39:0603, edge_create, Tuple[1,21,0.10072066566520466,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0603, question_create, 12144
2014-09-03 04:22:39:0604, edge_create, Tuple[1,22,0.3924902514871562,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0604, question_create, 13225
2014-09-03 04:22:39:0604, edge_create, Tuple[1,23,0.7628129067784071,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0605, question_create, 14617
2014-09-03 04:22:39:0605, edge_create, Tuple[1,24,0.3086382956429782,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0606, question_create, 15649
2014-09-03 04:22:39:0606, edge_create, Tuple[1,25,0.8568029889980653,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0607, question_create, 15732
2014-09-03 04:22:39:0607, edge_create, Tuple[1,26,0.2082952248191684,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0607, question_create, 17944
2014-09-03 04:22:39:0608, edge_create, Tuple[1,27,0.29806852399063344,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0608, question_create, 19295
2014-09-03 04:22:39:0609, edge_create, Tuple[1,28,0.8411091553732322,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0609, question_create, 19347
2014-09-03 04:22:39:0609, edge_create, Tuple[1,29,0.17018694158030945,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0610, question_create, 19766
2014-09-03 04:22:39:0610, edge_create, Tuple[1,30,0.857202374512137,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0610, question_create, 19838
2014-09-03 04:22:39:0611, edge_create, Tuple[1,31,0.7796334443517245,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0611, question_create, 20227
2014-09-03 04:22:39:0611, edge_create, Tuple[1,32,0.0984650588255247,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0612, question_create, 21934
2014-09-03 04:22:39:0612, edge_create, Tuple[1,33,0.7095400076431204,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0612, question_create, 22115
2014-09-03 04:22:39:0613, edge_create, Tuple[1,34,0.23180828678553522,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0613, question_create, 22409
2014-09-03 04:22:39:0613, edge_create, Tuple[1,35,0.7886137496656049,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0614, question_create, 22697
2014-09-03 04:22:39:0614, edge_create, Tuple[1,36,0.6252249849274115,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0615, question_create, 23763
2014-09-03 04:22:39:0615, edge_create, Tuple[1,37,0.2368053640088158,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0615, question_create, 24596
2014-09-03 04:22:39:0616, edge_create, Tuple[1,38,0.10719619415971804,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0616, question_create, 24623
2014-09-03 04:22:39:0616, edge_create, Tuple[1,39,0.5201665365084369,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0618, question_create, 25033
2014-09-03 04:22:39:0619, edge_create, Tuple[1,40,0.058089483434495826,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0621, question_create, 25552
2014-09-03 04:22:39:0622, edge_create, Tuple[1,41,0.05857505130870666,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0622, question_create, 25637
2014-09-03 04:22:39:0622, edge_create, Tuple[1,42,0.23782766462596638,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0623, question_create, 25765
2014-09-03 04:22:39:0623, edge_create, Tuple[1,43,0.6873040932696575,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0623, question_create, 26458
2014-09-03 04:22:39:0624, edge_create, Tuple[1,44,0.9519854218923,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0624, question_create, 26732
2014-09-03 04:22:39:0624, edge_create, Tuple[1,45,0.12305575450457484,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0625, question_create, 27065
2014-09-03 04:22:39:0625, edge_create, Tuple[1,46,0.9589518123181024,2,1.0,1409732559152,1409732559152]
2014-09-03 04:22:39:0625, question_create, 27240
2014-09-03 04:22:39:0626, edge_create, Tuple[1,47,0.9639830010970935,2,1.0,1409732559152,1409732559152]
